Vaccine/Exemption,Dose,Geography Type,Geography,School Year,Estimate (%),Population Size,Percent Surveyed,Survey Type
"Varicella, unknown disease history",1 Dose,States,Michigan,2013-14,NA,120297,100,Census
"Varicella, unknown disease history",1 Dose,States,Minnesota,2013-14,NA,72087,98.5,Census
"Varicella, unknown disease history",1 Dose,States,Mississippi,2013-14,NA,45719,100,Census
"Varicella, unknown disease history",1 Dose,States,Missouri,2013-14,NA,78140,100,Census
"Varicella, unknown disease history",1 Dose,States,Montana,2013-14,,12855,95.4,Census
"Varicella, unknown disease history",1 Dose,States,Nebraska,2013-14,NA,27000,97.3,Census
"Varicella, unknown disease history",1 Dose,States,Nevada,2013-14,NA,35782,3.1,Stratified  2-stage cluster sample
"Varicella, unknown disease history",1 Dose,States,New Hampshire,2013-14,NA,13240,100,Census
"Varicella, unknown disease history",1 Dose,States,New Jersey,2013-14,96.8,123085,95.4,Census
"Varicella, unknown disease history",1 Dose,States,New Mexico,2013-14,NA,30725,2.7,Stratified  2-stage cluster sample
"Varicella, unknown disease history",1 Dose,States,New York,2013-14,98.2,240318,100,Census
"Varicella, unknown disease history",1 Dose,States,North Carolina,2013-14,NA,126084,97.7,Census
"Varicella, unknown disease history",1 Dose,States,North Dakota,2013-14,NA,9780,96.1,Census (Public); Stratified  2-stage cluster sample(Private)
"Varicella, unknown disease history",1 Dose,States,Ohio,2013-14,NA,150000,92.5,Census
"Varicella, unknown disease history",1 Dose,States,Oklahoma,2013-14,98,57377,71.3,Voluntary response
"Varicella, unknown disease history",1 Dose,States,Oregon,2013-14,94.3,47649,100,Census
"Varicella, unknown disease history",1 Dose,States,Pennsylvania,2013-14,NA,151253,100,Census
"Varicella, unknown disease history",1 Dose,National,United States,2013-14,96.2,,,NaN
"Varicella, unknown disease history",1 Dose,States,Rhode Island,2013-14,NA,11521,99.1,Census
"Varicella, unknown disease history",1 Dose,States,South Carolina,2013-14,94.4,61661,11,1-stage stratified sample
"Varicella, unknown disease history",1 Dose,States,South Dakota,2013-14,NA,12566,100,Census
"Varicella, unknown disease history",1 Dose,States,Tennessee,2013-14,NA,80212,99.8,Census
"Varicella, unknown disease history",1 Dose,States,Texas,2013-14,NA,409255,97.1,Census
"Varicella, unknown disease history",1 Dose,National,U.S. Median,2013-14,96.5,,,NaN
"Varicella, unknown disease history",1 Dose,States,Utah,2013-14,99.6,54779,100,Census
"Varicella, unknown disease history",1 Dose,States,Vermont,2013-14,NA,6771,100,Census
"Varicella, unknown disease history",1 Dose,States,Virginia,2013-14,NA,105692,4.1,2-stage cluster  sample
"Varicella, unknown disease history",1 Dose,States,Washington,2013-14,NA,89165,88.5,Voluntary response
"Varicella, unknown disease history",1 Dose,States,West Virginia,2013-14,NA,22814,84.7,Voluntary response
"Varicella, unknown disease history",1 Dose,States,Wisconsin,2013-14,NA,71363,2.8,Stratified  2-stage cluster sample
"Varicella, unknown disease history",1 Dose,States,Wyoming,2013-14,NA,,,Not conducted
"Varicella, unknown disease history",1 Dose,States,Alabama,2014-15,93.5,59660,100,Census
"Varicella, unknown disease history",1 Dose,States,Alaska,2014-15,NA,10129,7.8,Stratified 2-stage cluster sample
"Varicella, unknown disease history",1 Dose,States,Arizona,2014-15,96.6,86153,98.3,Census
"Varicella, unknown disease history",1 Dose,States,Arkansas,2014-15,NA,41252,95.9,Census (public); Voluntary response (private)
"Varicella, unknown disease history",1 Dose,States,California,2014-15,95.5,552583,96.9,Census
"Varicella, unknown disease history",1 Dose,States,Colorado,2014-15,NA,70597,0.5,Simple random sample
"Varicella, unknown disease history",1 Dose,States,Connecticut,2014-15,NA,39948,100,Census
"Varicella, unknown disease history",1 Dose,States,Delaware,2014-15,NA,11476,7.9,Stratified 2-stage cluster sample
"Varicella, unknown disease history",1 Dose,States,District of Columbia,2014-15,NA,7840,100,Census
"Varicella, unknown disease history",1 Dose,States,Florida,2014-15,NA,228982,100,Census
"Varicella, unknown disease history",1 Dose,States,Georgia,2014-15,NA,139471,100,Census
"Varicella, unknown disease history",1 Dose,States,Hawaii,2014-15,NA,20085,5.6,Stratified 2-stage cluster sample
"Varicella, unknown disease history",1 Dose,States,Idaho,2014-15,NA,22968,100,Census
"Varicella, unknown disease history",1 Dose,States,Illinois,2014-15,NA,156942,100,Census
"Varicella, unknown disease history",1 Dose,States,Indiana,2014-15,NA,85477,70.1,Voluntary response
"Varicella, unknown disease history",1 Dose,States,Iowa,2014-15,NA,43239,96.3,Census
"Varicella, unknown disease history",1 Dose,States,Kansas,2014-15,NA,39685,24.5,Stratified 2-stage cluster sample
"Varicella, unknown disease history",1 Dose,States,Kentucky,2014-15,NA,57884,97.2,Census
"Varicella, unknown disease history",1 Dose,States,Louisiana,2014-15,NA,60377,100,Census
"Varicella, unknown disease history",1 Dose,States,Maine,2014-15,96.2,13704,88.9,Voluntary response (public); Census (private)
"Varicella, unknown disease history",1 Dose,States,Maryland,2014-15,NA,75391,90.2,Census (public); Voluntary response (private)
"Varicella, unknown disease history",1 Dose,States,Massachusetts,2014-15,NA,74869,100,Census
"Varicella, unknown disease history",1 Dose,States,Michigan,2014-15,NA,117963,100,Census
"Varicella, unknown disease history",1 Dose,States,Minnesota,2014-15,NA,70896,97.8,Census
"Varicella, unknown disease history",1 Dose,States,Mississippi,2014-15,NA,44129,100,Census
"Varicella, unknown disease history",1 Dose,States,Missouri,2014-15,NA,75900,100,Census
"Varicella, unknown disease history",1 Dose,States,Montana,2014-15,,12501,95.7,Census (public); Voluntary response (private)
"Varicella, unknown disease history",1 Dose,States,Nebraska,2014-15,NA,26665,100,Census
"Varicella, unknown disease history",1 Dose,States,Nevada,2014-15,NA,36755,2.8,Stratified 2-stage cluster sample
"Varicella, unknown disease history",1 Dose,States,New Hampshire,2014-15,NA,12422,98.9,Census (public); Voluntary response (private)
"Varicella, unknown disease history",1 Dose,States,New Jersey,2014-15,92.3,120471,93.9,Census (public); Voluntary response (private)
"Varicella, unknown disease history",1 Dose,States,New Mexico,2014-15,NA,29918,3.3,Stratified 2-stage cluster sample
"Varicella, unknown disease history",1 Dose,States,New York,2014-15,NA,237045,100,Census
"Varicella, unknown disease history",1 Dose,States,North Carolina,2014-15,97.5,129792,95,Census (public). Voluntary response (private)
"Varicella, unknown disease history",1 Dose,States,North Dakota,2014-15,NA,10017,99.9,Census
"Varicella, unknown disease history",1 Dose,States,Ohio,2014-15,NA,149080,91,Census (public); Voluntary response (private)
"Varicella, unknown disease history",1 Dose,States,Oklahoma,2014-15,92.5,56967,95.9,Census
"Varicella, unknown disease history",1 Dose,States,Oregon,2014-15,95.2,46229,100,Census
"Varicella, unknown disease history",1 Dose,States,Pennsylvania,2014-15,NA,146378,98.3,Census
"Varicella, unknown disease history",1 Dose,National,United States,2014-15,95.1,,,NaN
"Varicella, unknown disease history",1 Dose,States,Rhode Island,2014-15,NA,11163,98.9,Census
"Varicella, unknown disease history",1 Dose,States,South Carolina,2014-15,NA,62864,12.2,Stratified 1-stage cluster sample
"Varicella, unknown disease history",1 Dose,States,South Dakota,2014-15,NA,12008,100,Census
"Varicella, unknown disease history",1 Dose,States,Tennessee,2014-15,NA,78276,100,Census
"Varicella, unknown disease history",1 Dose,States,Texas,2014-15,NA,406099,98.3,Census (public); Voluntary response (private)
"Varicella, unknown disease history",1 Dose,National,U.S. Median,2014-15,95.2,,,NaN
"Varicella, unknown disease history",1 Dose,States,Utah,2014-15,97.2,50916,100,Census
"Varicella, unknown disease history",1 Dose,States,Vermont,2014-15,NA,6277,100,Census
"Varicella, unknown disease history",1 Dose,States,Virginia,2014-15,NA,103821,4.1,Stratified 2-stage cluster sample
"Varicella, unknown disease history",1 Dose,States,Washington,2014-15,NA,88809,96.7,Census (public); Voluntary response (private)
"Varicella, unknown disease history",1 Dose,States,West Virginia,2014-15,NA,22016,81.3,Voluntary response
"Varicella, unknown disease history",1 Dose,States,Wisconsin,2014-15,NA,69335,2.5,Stratified 2-stage cluster sample
"Varicella, unknown disease history",1 Dose,States,Wyoming,2014-15,NA,7983,97.9,Census
"Varicella, unknown disease history",1 Dose,States,Alabama,2015-16,93.1,60392,100,Census
"Varicella, unknown disease history",1 Dose,States,Alaska,2015-16,NA,9937,7.8,Stratified 2-stage cluster sample
"Varicella, unknown disease history",1 Dose,States,Arizona,2015-16,96.7,83088,100,Census
"Varicella, unknown disease history",1 Dose,States,Arkansas,2015-16,NA,40258,95.6,Census (public); Voluntary response (private)
"Varicella, unknown disease history",1 Dose,States,California,2015-16,96.3,593788,92.8,Census
"Varicella, unknown disease history",1 Dose,States,Colorado,2015-16,NA,69137,0.5,Simple random sample
"Varicella, unknown disease history",1 Dose,States,Connecticut,2015-16,NA,39533,100,Census
"Varicella, unknown disease history",1 Dose,States,Delaware,2015-16,NA,11589,9.5,Stratified 2-stage cluster sample
"Varicella, unknown disease history",1 Dose,States,District of Columbia,2015-16,NA,8080,100,Census
"Varicella, unknown disease history",1 Dose,States,Florida,2015-16,NA,224430,100,Census
"Varicella, unknown disease history",1 Dose,States,Georgia,2015-16,NA,131403,100,Census
"Varicella, unknown disease history",1 Dose,States,Hawaii,2015-16,95.4,16325,6.7,Stratified 2-stage cluster sample
"Varicella, unknown disease history",1 Dose,States,Idaho,2015-16,NA,22686,100,Census
"Varicella, unknown disease history",1 Dose,States,Illinois,2015-16,NA,151309,100,Census
"Varicella, unknown disease history",1 Dose,States,Indiana,2015-16,NA,83525,69.5,Voluntary response
"Varicella, unknown disease history",1 Dose,States,Iowa,2015-16,NA,41215,100,Census
"Varicella, unknown disease history",1 Dose,States,Kansas,2015-16,NA,39555,21,Stratified 2-stage cluster sample
"Varicella, unknown disease history",1 Dose,States,Kentucky,2015-16,NA,54353,99.5,Census
"Varicella, unknown disease history",1 Dose,States,Louisiana,2015-16,NA,59159,100,Census
"Varicella, unknown disease history",1 Dose,States,Maine,2015-16,96.1,13526,90.5,Census
"Varicella, unknown disease history",1 Dose,States,Maryland,2015-16,NA,72012,94.3,Census (public); Voluntary response (private)
"Varicella, unknown disease history",1 Dose,States,Massachusetts,2015-16,NA,72897,100,Census
"Varicella, unknown disease history",1 Dose,States,Michigan,2015-16,NA,116299,100,Census
"Varicella, unknown disease history",1 Dose,States,Minnesota,2015-16,NA,69710,97.8,Census
"Varicella, unknown disease history",1 Dose,States,Mississippi,2015-16,NA,41042,100,Census
"Varicella, unknown disease history",1 Dose,States,Missouri,2015-16,NA,74413,100,Census
"Varicella, unknown disease history",1 Dose,States,Montana,2015-16,NA,11484,100,Census
"Varicella, unknown disease history",1 Dose,States,Nebraska,2015-16,NA,30409,100,Census
"Varicella, unknown disease history",1 Dose,States,Nevada,2015-16,NA,37118,3.3,Stratified 2-stage cluster sample
"Varicella, unknown disease history",1 Dose,States,New Hampshire,2015-16,NA,11852,99.8,Census
"Varicella, unknown disease history",1 Dose,States,New Jersey,2015-16,96.3,110116,100,Census
"Varicella, unknown disease history",1 Dose,States,New Mexico,2015-16,NA,29049,2.7,Stratified 2-stage cluster sample
"Varicella, unknown disease history",1 Dose,States,New York,2015-16,NA,232521,100,Census
"Varicella, unknown disease history",1 Dose,States,North Carolina,2015-16,NA,128290,92,Census (public). Voluntary response (private)
"Varicella, unknown disease history",1 Dose,States,North Dakota,2015-16,NA,9875,97.1,Census
"Varicella, unknown disease history",1 Dose,States,Ohio,2015-16,NA,144604,93.7,Census (public); Voluntary response (private)
"Varicella, unknown disease history",1 Dose,States,Oklahoma,2015-16,NA,54335,96.1,Census
"Varicella, unknown disease history",1 Dose,States,Oregon,2015-16,95.2,45531,100,Census
"Varicella, unknown disease history",1 Dose,States,Pennsylvania,2015-16,NA,143298,93.2,Census (public); Voluntary response (private)
"Varicella, unknown disease history",1 Dose,National,United States,2015-16,96,,,NaN
"Varicella, unknown disease history",1 Dose,States,Rhode Island,2015-16,NA,11165,100,Census
"Varicella, unknown disease history",1 Dose,States,South Carolina,2015-16,NA,59240,8.9,Stratified 1-stage cluster sample
"Varicella, unknown disease history",1 Dose,States,South Dakota,2015-16,NA,12181,100,Census
"Varicella, unknown disease history",1 Dose,States,Tennessee,2015-16,NA,79233,100,Census
"Varicella, unknown disease history",1 Dose,States,Texas,2015-16,NA,394801,98.7,Census (public); Voluntary response (private)
"Varicella, unknown disease history",1 Dose,National,U.S. Median,2015-16,96.1,,,NaN
"Varicella, unknown disease history",1 Dose,States,Utah,2015-16,NA,50114,100,Census
"Varicella, unknown disease history",1 Dose,States,Vermont,2015-16,NA,6366,100,Census
"Varicella, unknown disease history",1 Dose,States,Virginia,2015-16,NA,100074,4.3,Stratified 2-stage cluster sample
"Varicella, unknown disease history",1 Dose,States,Washington,2015-16,NA,86492,97.3,Census
"Varicella, unknown disease history",1 Dose,States,West Virginia,2015-16,NA,21333,87.6,Voluntary response
"Varicella, unknown disease history",1 Dose,States,Wisconsin,2015-16,NA,70220,2,Stratified 2-stage cluster sample
"Varicella, unknown disease history",1 Dose,States,Wyoming,2015-16,NA,7825,74,Voluntary response
"Varicella, unknown disease history",1 Dose,States,Alabama,2016-17,93.8,58394,100,Census
"Varicella, unknown disease history",1 Dose,States,Arizona,2016-17,96.7,83627,100,Census
"Varicella, unknown disease history",1 Dose,States,California,2016-17,98.5,575305,97.8,Census
"Varicella, unknown disease history",1 Dose,States,Hawaii,2016-17,95.3,16325,6.7,Stratified 2-stage cluster sample
"Varicella, unknown disease history",1 Dose,States,Maine,2016-17,96.7,13834,90.1,Voluntary response (public). census (private)
"Varicella, unknown disease history",1 Dose,States,New Jersey,2016-17,96.5,109577,100,Census
"Varicella, unknown disease history",1 Dose,States,Oklahoma,2016-17,NA,52184,0,Census
"Varicella, unknown disease history",1 Dose,States,Oregon,2016-17,95,45705,100,Census
"Varicella, unknown disease history",1 Dose,National,United States,2016-17,97.5,,,NaN
"Varicella, unknown disease history",1 Dose,National,U.S. Median,2016-17,96.5,,,NaN
"Varicella, unknown disease history",1 Dose,States,Wyoming,2016-17,NA,,,Not conducted
"Varicella, unknown disease history",1 Dose,States,Alabama,2017-18,92.7,57245,100,Census
"Varicella, unknown disease history",1 Dose,States,Arizona,2017-18,96.2,81710,100,Census
"Varicella, unknown disease history",1 Dose,States,California,2017-18,98.2,574702,100,Census
"Varicella, unknown disease history",1 Dose,States,Hawaii,2017-18,96.2,16325,6.6,Stratified 2-stage cluster sample
"Varicella, unknown disease history",1 Dose,States,Maine,2017-18,96.5,13255,95.9,Census 
"Varicella, unknown disease history",1 Dose,States,New Jersey,2017-18,96.1,107630,100,Census
"Varicella, unknown disease history",1 Dose,States,Oklahoma,2017-18,96.8,53898,92.1,Census (public). voluntary response (private)
"Varicella, unknown disease history",1 Dose,States,Oregon,2017-18,94.4,45818,100,Census
"Varicella, unknown disease history",1 Dose,National,United States,2017-18,97.1,,,NaN
"Varicella, unknown disease history",1 Dose,National,U.S. Median,2017-18,96.2,,,NaN
"Varicella, unknown disease history",1 Dose,States,Wyoming,2017-18,NA,,,Not conducted 
"Varicella, unknown disease history",1 Dose,States,Alabama,2018-19,90.6,77739,100,Census
"Varicella, unknown disease history",1 Dose,States,Arizona,2018-19,95.6,79981,100,Census
"Varicella, unknown disease history",1 Dose,States,California,2018-19,97.9,568947,97.7,Census
"Varicella, unknown disease history",1 Dose,States,Hawaii,2018-19,94,16051,6.7,Stratified 2-stage cluster sample
"Varicella, unknown disease history",1 Dose,States,Maine,2018-19,95.9,13419,95.9,Census
"Varicella, unknown disease history",1 Dose,States,New Jersey,2018-19,95,109161,100,Census
"Varicella, unknown disease history",1 Dose,States,Oklahoma,2018-19,95.8,54806,92.1,Census (public). voluntary response (private)
"Varicella, unknown disease history",1 Dose,States,Oregon,2018-19,94.3,45870,100,Census
"Varicella, unknown disease history",1 Dose,National,United States,2018-19,96.4,,,NaN
"Varicella, unknown disease history",1 Dose,National,U.S. Median,2018-19,95.3,,,NaN
"Varicella, unknown disease history",1 Dose,States,Alabama,2019-20,86.6,59477,94.9,Census
"Varicella, unknown disease history",1 Dose,States,Alaska,2019-20,,10381,82.7,Voluntary response
"Varicella, unknown disease history",1 Dose,States,Arizona,2019-20,95.3,83976,98.7,Census (public). voluntary response (private)
"Varicella, unknown disease history",1 Dose,States,Arkansas,2019-20,,39510,96.2,Census (public). voluntary response (private)
"Varicella, unknown disease history",1 Dose,States,California,2019-20,,566155,97.9,Census
"Varicella, unknown disease history",1 Dose,States,Colorado,2019-20,,69088,98.2,Census
"Varicella, unknown disease history",1 Dose,States,Connecticut,2019-20,,38888,100,Census
"Varicella, unknown disease history",1 Dose,States,Delaware,2019-20,,,,Not Conducted
"Varicella, unknown disease history",1 Dose,States,District of Columbia,2019-20,,,,Not Conducted
"Varicella, unknown disease history",1 Dose,States,Florida,2019-20,,228298,100,Census
"Varicella, unknown disease history",1 Dose,States,Georgia,2019-20,,130102,100,Census
"Varicella, unknown disease history",1 Dose,States,Hawaii,2019-20,91.8,15695,8.9,Stratified 2-stage cluster sample
"Varicella, unknown disease history",1 Dose,States,Idaho,2019-20,,23301,98.5,Census
"Varicella, unknown disease history",1 Dose,States,Illinois,2019-20,,145891,100,Census
"Varicella, unknown disease history",1 Dose,States,Indiana,2019-20,,88253,65.7,Voluntary response
"Varicella, unknown disease history",1 Dose,States,Iowa,2019-20,,40812,100,Census
"Varicella, unknown disease history",1 Dose,States,Kansas,2019-20,,37865,34.3,Stratified 2-stage cluster sample
"Varicella, unknown disease history",1 Dose,States,Kentucky,2019-20,,59233,92.9,Census
"Varicella, unknown disease history",1 Dose,States,Louisiana,2019-20,,59685,100,Census
"Varicella, unknown disease history",1 Dose,States,Maine,2019-20,96.2,13450,99.6,Census 
"Varicella, unknown disease history",1 Dose,States,Maryland,2019-20,,72443,98.3,Census (public). voluntary response (private)
"Varicella, unknown disease history",1 Dose,States,Massachusetts,2019-20,,66756,100,Census
"Varicella, unknown disease history",1 Dose,States,Michigan,2019-20,,120565,100,Census
"Varicella, unknown disease history",1 Dose,States,Minnesota,2019-20,,71223,98.7,Census
"Varicella, unknown disease history",1 Dose,States,Mississippi,2019-20,,37870,100,Census
"Varicella, unknown disease history",1 Dose,States,Missouri,2019-20,,72324,100,Census
"Varicella, unknown disease history",1 Dose,States,Montana,2019-20,,12501,100,Census
"Varicella, unknown disease history",1 Dose,States,Nebraska,2019-20,,26893,96.7,Census
"Varicella, unknown disease history",1 Dose,States,Nevada,2019-20,,37724,99.9,Census
"Varicella, unknown disease history",1 Dose,States,New Hampshire,2019-20,,12447,100,Census
"Varicella, unknown disease history",1 Dose,States,New Jersey,2019-20,95.9,107900,100,Census
"Varicella, unknown disease history",1 Dose,States,New Mexico,2019-20,,23087,100,Census
"Varicella, unknown disease history",1 Dose,States,New York,2019-20,,234165,99.9,Census
"Varicella, unknown disease history",1 Dose,States,North Carolina,2019-20,,124548,97.8,Census
"Varicella, unknown disease history",1 Dose,States,North Dakota,2019-20,,10587,99.5,Census
"Varicella, unknown disease history",1 Dose,States,Ohio,2019-20,,139103,98.8,Census
"Varicella, unknown disease history",1 Dose,States,Oklahoma,2019-20,96.9,55348,85.6,Voluntary response
"Varicella, unknown disease history",1 Dose,States,Oregon,2019-20,94.6,45959,100,Census
"Varicella, unknown disease history",1 Dose,States,Pennsylvania,2019-20,,140197,98.8,Census
"Varicella, unknown disease history",1 Dose,National,United States,2019-20,94.1,,,NaN
"Varicella, unknown disease history",1 Dose,States,Rhode Island,2019-20,,11219,98.5,Census
"Varicella, unknown disease history",1 Dose,States,South Carolina,2019-20,,65938,27.5,Stratified 1-stage cluster sample
"Varicella, unknown disease history",1 Dose,States,South Dakota,2019-20,,12367,99.8,Census
"Varicella, unknown disease history",1 Dose,States,Tennessee,2019-20,,80595,100,Census
"Varicella, unknown disease history",1 Dose,States,Texas,2019-20,,398680,99.6,Census
"Varicella, unknown disease history",1 Dose,National,U.S. Median,2019-20,95.3,,,NaN
"Varicella, unknown disease history",1 Dose,States,Utah,2019-20,,49208,100,Census
"Varicella, unknown disease history",1 Dose,States,Vermont,2019-20,,6293,100,Census
"Varicella, unknown disease history",1 Dose,States,Virginia,2019-20,,99399,1.2,Stratified 2-stage cluster sample
"Varicella, unknown disease history",1 Dose,States,Washington,2019-20,,87757,91.9,Census
"Varicella, unknown disease history",1 Dose,States,West Virginia,2019-20,,17114,49.6,Voluntary response
"Varicella, unknown disease history",1 Dose,States,Wisconsin,2019-20,,67391,2.6,Stratified 2-stage cluster sample
"Varicella, unknown disease history",1 Dose,States,Wyoming,2019-20,,7913,100,Census
"Varicella, unknown disease history",1 Dose,States,Alabama,2020-21,94.7,56974,100,Census
"Varicella, unknown disease history",1 Dose,States,Alaska,2020-21,,9461,,Not Conducted
"Varicella, unknown disease history",1 Dose,States,Arizona,2020-21,95.5,76382,92.4,Census (public). voluntary response (private)
"Varicella, unknown disease history",1 Dose,States,Arkansas,2020-21,,37540,95.6,Census (public). voluntary response (private)
"Varicella, unknown disease history",1 Dose,States,California,2020-21,,498214,97.5,Census
"Varicella, unknown disease history",1 Dose,States,Colorado,2020-21,,63619,97.3,Census
"Varicella, unknown disease history",1 Dose,States,Connecticut,2020-21,,34396,100,Census
"Varicella, unknown disease history",1 Dose,States,Delaware,2020-21,,10587,9.2,Stratified 2-stage cluster sample
"Varicella, unknown disease history",1 Dose,States,District of Columbia,2020-21,,8262,100,Census
"Varicella, unknown disease history",1 Dose,States,Florida,2020-21,,207026,100,Census
"Varicella, unknown disease history",1 Dose,States,Georgia,2020-21,,83191,100,Census
"Varicella, unknown disease history",1 Dose,States,Hawaii,2020-21,,13074,9.3,Stratified 2-stage cluster sample
"Varicella, unknown disease history",1 Dose,States,Idaho,2020-21,,22677,98.3,Census
"Varicella, unknown disease history",1 Dose,States,Illinois,2020-21,,,,Not Conducted
"Varicella, unknown disease history",1 Dose,States,Indiana,2020-21,,78694,71.4,Voluntary response
"Varicella, unknown disease history",1 Dose,States,Iowa,2020-21,,39141,100,Census
"Varicella, unknown disease history",1 Dose,States,Kansas,2020-21,,34687,32.7,Stratified 2-stage cluster sample
"Varicella, unknown disease history",1 Dose,States,Kentucky,2020-21,,59233,86.4,Census (public). voluntary response (private)
"Varicella, unknown disease history",1 Dose,States,Louisiana,2020-21,,61912,100,Census
"Varicella, unknown disease history",1 Dose,States,Maine,2020-21,97,13477,85,Voluntary response (public). census (private)
"Varicella, unknown disease history",1 Dose,States,Maryland,2020-21,,65764,75.6,Voluntary response
"Varicella, unknown disease history",1 Dose,States,Massachusetts,2020-21,,60724,100,Census
"Varicella, unknown disease history",1 Dose,States,Michigan,2020-21,,106657,100,Census
"Varicella, unknown disease history",1 Dose,States,Minnesota,2020-21,,66007,95.2,Census
"Varicella, unknown disease history",1 Dose,States,Mississippi,2020-21,,34028,100,Census
"Varicella, unknown disease history",1 Dose,States,Missouri,2020-21,,63093,100,Census
"Varicella, unknown disease history",1 Dose,States,Montana,2020-21,,11279,100,Census
"Varicella, unknown disease history",1 Dose,States,Nebraska,2020-21,,25681,94.8,Census (public). voluntary response (private)
"Varicella, unknown disease history",1 Dose,States,Nevada,2020-21,,34171,94.7,Census (public). voluntary response (private)
"Varicella, unknown disease history",1 Dose,States,New Hampshire,2020-21,,10242,57,Voluntary response
"Varicella, unknown disease history",1 Dose,States,New Jersey,2020-21,94.3,100144,100,Census
"Varicella, unknown disease history",1 Dose,States,New Mexico,2020-21,,20589,100,Census
"Varicella, unknown disease history",1 Dose,States,New York,2020-21,,216804,91.5,Census (public). voluntary response (private)
"Varicella, unknown disease history",1 Dose,States,NY-City of New York,2020-21,,91920,94.2,Census (public). voluntary response (private)
"Varicella, unknown disease history",1 Dose,States,North Carolina,2020-21,,120995,89,Census (public). voluntary response (private)
"Varicella, unknown disease history",1 Dose,States,North Dakota,2020-21,,10116,99.1,Census
"Varicella, unknown disease history",1 Dose,States,Ohio,2020-21,,128535,91.1,Census (public). voluntary response (private)
"Varicella, unknown disease history",1 Dose,States,Oklahoma,2020-21,96.1,52656,90,Census (public). voluntary response (private)
"Varicella, unknown disease history",1 Dose,States,Oregon,2020-21,95.1,39568,100,Census
"Varicella, unknown disease history",1 Dose,States,Pennsylvania,2020-21,,129307,95,Census (public). voluntary response (private)
"Varicella, unknown disease history",1 Dose,National,United States,2020-21,94.8,352275,93.1,
"Varicella, unknown disease history",1 Dose,States,Rhode Island,2020-21,,10402,93,Census
"Varicella, unknown disease history",1 Dose,States,South Carolina,2020-21,,56330,26.5,Stratified 1-stage cluster sample
"Varicella, unknown disease history",1 Dose,States,South Dakota,2020-21,,11512,99.9,Census
"Varicella, unknown disease history",1 Dose,States,Tennessee,2020-21,,73819,100,Census
"Varicella, unknown disease history",1 Dose,States,Texas,2020-21,,377840,98.9,Census
"Varicella, unknown disease history",1 Dose,States,TX-City of Houston,2020-21,,39627,94.9,Census (public). voluntary response (private)
"Varicella, unknown disease history",1 Dose,National,U.S. Median,2020-21,95.1,352275,93.1,
"Varicella, unknown disease history",1 Dose,States,Utah,2020-21,,46247,100,Census
"Varicella, unknown disease history",1 Dose,States,Vermont,2020-21,,5535,100,Census
"Varicella, unknown disease history",1 Dose,States,Virginia,2020-21,,88273,2,Stratified 2-stage cluster sample
"Varicella, unknown disease history",1 Dose,States,Washington,2020-21,,74931,100,Census
"Varicella, unknown disease history",1 Dose,States,West Virginia,2020-21,,,,Not Conducted
"Varicella, unknown disease history",1 Dose,States,Wisconsin,2020-21,,63486,84.5,Voluntary response
"Varicella, unknown disease history",1 Dose,States,Wyoming,2020-21,,6923,100,Census
"Varicella, unknown disease history",1 Dose,States,Alabama,2021-22,94.9,60332,100,Census
"Varicella, unknown disease history",1 Dose,States,Alaska,2021-22,,9790,76.2,"Vol. response (pub.), not conducted (pvt.)"
"Varicella, unknown disease history",1 Dose,States,Arizona,2021-22,94.6,83463,97,Census
"Varicella, unknown disease history",1 Dose,States,Arkansas,2021-22,,39358,96.3,"Census (pub.), vol. response (pvt.)"
"Varicella, unknown disease history",1 Dose,States,California,2021-22,,512144,98.4,Census
"Varicella, unknown disease history",1 Dose,States,Colorado,2021-22,,66900,97.5,Census
"Varicella, unknown disease history",1 Dose,States,Connecticut,2021-22,,35451,100,Census
"Varicella, unknown disease history",1 Dose,States,Delaware,2021-22,,11181,9.5,Stratified 2-stage cluster sample
"Varicella, unknown disease history",1 Dose,States,District of Columbia,2021-22,,8959,100,Census
"Varicella, unknown disease history",1 Dose,States,Florida,2021-22,,229432,97.8,Census
"Varicella, unknown disease history",1 Dose,States,Georgia,2021-22,,118742,100,Census
"Varicella, unknown disease history",1 Dose,States,Hawaii,2021-22,,13368,6.7,Stratified 2-stage cluster sample
"Varicella, unknown disease history",1 Dose,States,Idaho,2021-22,,23854,99.6,Census
"Varicella, unknown disease history",1 Dose,States,Illinois,2021-22,,137699,100,Census
"Varicella, unknown disease history",1 Dose,States,Indiana,2021-22,,83198,75.1,Vol. response
"Varicella, unknown disease history",1 Dose,States,Iowa,2021-22,,40111,100,Census
"Varicella, unknown disease history",1 Dose,States,Kansas,2021-22,,36526,29.5,Stratified 1-stage cluster sample
"Varicella, unknown disease history",1 Dose,States,Kentucky,2021-22,,59233,91.5,Census
"Varicella, unknown disease history",1 Dose,States,Louisiana,2021-22,,66518,100,Census
"Varicella, unknown disease history",1 Dose,States,Maine,2021-22,,12881,91.6,Census
"Varicella, unknown disease history",1 Dose,States,Maryland,2021-22,,53866,98.4,Census
"Varicella, unknown disease history",1 Dose,States,Massachusetts,2021-22,,65582,100,Census
"Varicella, unknown disease history",1 Dose,States,Michigan,2021-22,,114251,100,Census
"Varicella, unknown disease history",1 Dose,States,Minnesota,2021-22,,69403,98.7,Census
"Varicella, unknown disease history",1 Dose,States,Mississippi,2021-22,,36524,100,Census
"Varicella, unknown disease history",1 Dose,States,Missouri,2021-22,,71034,100,Census
