Vaccine,Geography Type,Geography,Survey Year/Influenza Season,Dimension Type,Dimension,Estimate (%),Population Size
Seasonal Influenza,States,North Dakota,2014-15,Age,55-64 Years,80.6,484
Seasonal Influenza,States,Ohio,2014-15,Age,55-64 Years,67.1,18189
Seasonal Influenza,States,Oklahoma,2014-15,Age,55-64 Years,80.3,3290
Seasonal Influenza,States,Oregon,2014-15,Age,55-64 Years,70,2523
Seasonal Influenza,States,Pennsylvania,2014-15,Age,55-64 Years,73.5,13559
Seasonal Influenza,HHS Regions/National,United States,2014-15,Age,55-64 Years,68.9,276416
Seasonal Influenza,HHS Regions/National,Region 1,2014-15,Age,55-64 Years,NA,
Seasonal Influenza,HHS Regions/National,Region 2,2014-15,Age,55-64 Years,NA,
Seasonal Influenza,HHS Regions/National,Region 3,2014-15,Age,55-64 Years,NA,
Seasonal Influenza,HHS Regions/National,Region 4,2014-15,Age,55-64 Years,NA,
Seasonal Influenza,HHS Regions/National,Region 5,2014-15,Age,55-64 Years,NA,
Seasonal Influenza,HHS Regions/National,Region 6,2014-15,Age,55-64 Years,NA,
Seasonal Influenza,HHS Regions/National,Region 7,2014-15,Age,55-64 Years,NA,
Seasonal Influenza,HHS Regions/National,Region 8,2014-15,Age,55-64 Years,NA,
Seasonal Influenza,HHS Regions/National,Region 9,2014-15,Age,55-64 Years,NA,
Seasonal Influenza,States,Rhode Island,2014-15,Age,55-64 Years,76.7,1318
Seasonal Influenza,States,South Carolina,2014-15,Age,55-64 Years,73.3,3139
Seasonal Influenza,States,South Dakota,2014-15,Age,55-64 Years,83.3,504
Seasonal Influenza,States,Tennessee,2014-15,Age,55-64 Years,69.3,6033
Seasonal Influenza,States,Texas,2014-15,Age,55-64 Years,67.1,17399
Seasonal Influenza,HHS Regions/National,Region 10,2014-15,Age,55-64 Years,NA,
Seasonal Influenza,States,Utah,2014-15,Age,55-64 Years,71.2,2210
Seasonal Influenza,States,Vermont,2014-15,Age,55-64 Years,74.9,366
Seasonal Influenza,States,Virginia,2014-15,Age,55-64 Years,70.5,6062
Seasonal Influenza,States,Washington,2014-15,Age,55-64 Years,70.7,4199
Seasonal Influenza,States,West Virginia,2014-15,Age,55-64 Years,76.9,1724
Seasonal Influenza,States,Wisconsin,2014-15,Age,55-64 Years,75.4,4649
Seasonal Influenza,States,Wyoming,2014-15,Age,55-64 Years,75.1,285
Seasonal Influenza,States,Alabama,2015-16,Age,55-64 Years,64.7,4516
Seasonal Influenza,States,Alaska,2015-16,Age,55-64 Years,70.6,136
Seasonal Influenza,States,Arizona,2015-16,Age,55-64 Years,52.7,4816
Seasonal Influenza,States,Arkansas,2015-16,Age,55-64 Years,83.6,2565
Seasonal Influenza,States,California,2015-16,Age,55-64 Years,69.5,28001
Seasonal Influenza,States,Colorado,2015-16,Age,55-64 Years,70.4,3503
Seasonal Influenza,States,Connecticut,2015-16,Age,55-64 Years,73.5,4797
Seasonal Influenza,States,Delaware,2015-16,Age,55-64 Years,75.4,790
Seasonal Influenza,States,District of Columbia,2015-16,Age,55-64 Years,67.9,614
Seasonal Influenza,States,Florida,2015-16,Age,55-64 Years,48.8,15880
Seasonal Influenza,States,Georgia,2015-16,Age,55-64 Years,69.4,6928
Seasonal Influenza,States,Hawaii,2015-16,Age,55-64 Years,68.1,583
Seasonal Influenza,States,Idaho,2015-16,Age,55-64 Years,72.3,939
Seasonal Influenza,States,Illinois,2015-16,Age,55-64 Years,63,16337
Seasonal Influenza,States,Indiana,2015-16,Age,55-64 Years,70.4,7167
Seasonal Influenza,States,Iowa,2015-16,Age,55-64 Years,80.2,2598
Seasonal Influenza,States,Kansas,2015-16,Age,55-64 Years,72,2585
Seasonal Influenza,States,Kentucky,2015-16,Age,55-64 Years,68.1,4307
Seasonal Influenza,States,Louisiana,2015-16,Age,55-64 Years,71.9,5113
Seasonal Influenza,States,Maine,2015-16,Age,55-64 Years,75.2,1105
Seasonal Influenza,States,Maryland,2015-16,Age,55-64 Years,62.9,6808
Seasonal Influenza,States,Massachusetts,2015-16,Age,55-64 Years,72.6,7717
Seasonal Influenza,States,Michigan,2015-16,Age,55-64 Years,63.6,9525
Seasonal Influenza,States,Minnesota,2015-16,Age,55-64 Years,75.9,4416
Seasonal Influenza,States,Mississippi,2015-16,Age,55-64 Years,72,3021
Seasonal Influenza,States,Missouri,2015-16,Age,55-64 Years,72.2,7055
Seasonal Influenza,States,Montana,2015-16,Age,55-64 Years,73.5,720
Seasonal Influenza,States,Nebraska,2015-16,Age,55-64 Years,77.5,1745
Seasonal Influenza,States,Nevada,2015-16,Age,55-64 Years,48.1,1728
Seasonal Influenza,States,New Hampshire,2015-16,Age,55-64 Years,75.7,885
Seasonal Influenza,States,New Jersey,2015-16,Age,55-64 Years,67.8,10468
Seasonal Influenza,States,New Mexico,2015-16,Age,55-64 Years,67.6,1364
Seasonal Influenza,States,New York,2015-16,Age,55-64 Years,70.1,19686
Seasonal Influenza,States,North Carolina,2015-16,Age,55-64 Years,64.6,7671
Seasonal Influenza,States,North Dakota,2015-16,Age,55-64 Years,82.4,499
Seasonal Influenza,States,Ohio,2015-16,Age,55-64 Years,66.1,18566
Seasonal Influenza,States,Oklahoma,2015-16,Age,55-64 Years,78.6,3594
Seasonal Influenza,States,Oregon,2015-16,Age,55-64 Years,70.2,2772
Seasonal Influenza,States,Pennsylvania,2015-16,Age,55-64 Years,71.3,14168
Seasonal Influenza,HHS Regions/National,United States,2015-16,Age,55-64 Years,67.8,285219
Seasonal Influenza,HHS Regions/National,Region 1,2015-16,Age,55-64 Years,NA,
Seasonal Influenza,HHS Regions/National,Region 2,2015-16,Age,55-64 Years,NA,
Seasonal Influenza,HHS Regions/National,Region 3,2015-16,Age,55-64 Years,NA,
Seasonal Influenza,HHS Regions/National,Region 4,2015-16,Age,55-64 Years,NA,
Seasonal Influenza,HHS Regions/National,Region 5,2015-16,Age,55-64 Years,NA,
Seasonal Influenza,HHS Regions/National,Region 6,2015-16,Age,55-64 Years,NA,
Seasonal Influenza,HHS Regions/National,Region 7,2015-16,Age,55-64 Years,NA,
Seasonal Influenza,HHS Regions/National,Region 8,2015-16,Age,55-64 Years,NA,
Seasonal Influenza,HHS Regions/National,Region 9,2015-16,Age,55-64 Years,NA,
Seasonal Influenza,States,Rhode Island,2015-16,Age,55-64 Years,74.6,1407
Seasonal Influenza,States,South Carolina,2015-16,Age,55-64 Years,70.4,3428
Seasonal Influenza,States,South Dakota,2015-16,Age,55-64 Years,84.4,513
Seasonal Influenza,States,Tennessee,2015-16,Age,55-64 Years,67.1,6354
Seasonal Influenza,States,Texas,2015-16,Age,55-64 Years,67.6,18336
Seasonal Influenza,HHS Regions/National,Region 10,2015-16,Age,55-64 Years,NA,
Seasonal Influenza,States,Utah,2015-16,Age,55-64 Years,69.5,2120
Seasonal Influenza,States,Vermont,2015-16,Age,55-64 Years,74.4,395
Seasonal Influenza,States,Virginia,2015-16,Age,55-64 Years,69.8,6194
Seasonal Influenza,States,Washington,2015-16,Age,55-64 Years,71.4,4057
Seasonal Influenza,States,West Virginia,2015-16,Age,55-64 Years,73.4,1758
Seasonal Influenza,States,Wisconsin,2015-16,Age,55-64 Years,74.9,4637
Seasonal Influenza,States,Wyoming,2015-16,Age,55-64 Years,75,332
Seasonal Influenza,States,Alabama,2016-17,Age,55-64 Years,65.8,4590
Seasonal Influenza,States,Alaska,2016-17,Age,55-64 Years,75.5,143
Seasonal Influenza,States,Arizona,2016-17,Age,55-64 Years,54.2,5131
Seasonal Influenza,States,Arkansas,2016-17,Age,55-64 Years,82.7,2778
Seasonal Influenza,States,California,2016-17,Age,55-64 Years,69.4,28540
Seasonal Influenza,States,Colorado,2016-17,Age,55-64 Years,69.2,3671
Seasonal Influenza,States,Connecticut,2016-17,Age,55-64 Years,72.4,4692
Seasonal Influenza,States,Delaware,2016-17,Age,55-64 Years,74.9,832
Seasonal Influenza,States,District of Columbia,2016-17,Age,55-64 Years,67.3,554
Seasonal Influenza,States,Florida,2016-17,Age,55-64 Years,45.6,15949
Seasonal Influenza,States,Georgia,2016-17,Age,55-64 Years,68.5,6841
Seasonal Influenza,States,Hawaii,2016-17,Age,55-64 Years,69.5,632
Seasonal Influenza,States,Idaho,2016-17,Age,55-64 Years,69,925
Seasonal Influenza,States,Illinois,2016-17,Age,55-64 Years,62.2,15392
Seasonal Influenza,States,Indiana,2016-17,Age,55-64 Years,66.8,7499
Seasonal Influenza,States,Iowa,2016-17,Age,55-64 Years,78.8,2636
Seasonal Influenza,States,Kansas,2016-17,Age,55-64 Years,69.8,2689
Seasonal Influenza,States,Kentucky,2016-17,Age,55-64 Years,68.9,4264
Seasonal Influenza,States,Louisiana,2016-17,Age,55-64 Years,69.2,5180
Seasonal Influenza,States,Maine,2016-17,Age,55-64 Years,72.2,1102
Seasonal Influenza,States,Maryland,2016-17,Age,55-64 Years,65,6801
Seasonal Influenza,States,Massachusetts,2016-17,Age,55-64 Years,71.4,7811
Seasonal Influenza,States,Michigan,2016-17,Age,55-64 Years,61.1,9979
Seasonal Influenza,States,Minnesota,2016-17,Age,55-64 Years,74.9,4501
Seasonal Influenza,States,Mississippi,2016-17,Age,55-64 Years,70.2,3135
Seasonal Influenza,States,Missouri,2016-17,Age,55-64 Years,72.4,7060
Seasonal Influenza,States,Montana,2016-17,Age,55-64 Years,71.4,767
Seasonal Influenza,States,Nebraska,2016-17,Age,55-64 Years,78.2,1667
Seasonal Influenza,States,Nevada,2016-17,Age,55-64 Years,43.9,1940
Seasonal Influenza,States,New Hampshire,2016-17,Age,55-64 Years,76.4,864
Seasonal Influenza,States,New Jersey,2016-17,Age,55-64 Years,68,10753
Seasonal Influenza,States,New Mexico,2016-17,Age,55-64 Years,63.5,1471
Seasonal Influenza,States,New York,2016-17,Age,55-64 Years,70.1,19426
Seasonal Influenza,States,North Carolina,2016-17,Age,55-64 Years,63.4,7922
Seasonal Influenza,States,North Dakota,2016-17,Age,55-64 Years,79.6,511
Seasonal Influenza,States,Ohio,2016-17,Age,55-64 Years,64.2,18527
Seasonal Influenza,States,Oklahoma,2016-17,Age,55-64 Years,79.9,3593
Seasonal Influenza,States,Oregon,2016-17,Age,55-64 Years,68.8,2696
Seasonal Influenza,States,Pennsylvania,2016-17,Age,55-64 Years,69.5,14290
Seasonal Influenza,HHS Regions/National,United States,2016-17,Age,55-64 Years,66.8,288195
Seasonal Influenza,HHS Regions/National,Region 1,2016-17,Age,55-64 Years,NA,
Seasonal Influenza,HHS Regions/National,Region 2,2016-17,Age,55-64 Years,NA,
Seasonal Influenza,HHS Regions/National,Region 3,2016-17,Age,55-64 Years,NA,
Seasonal Influenza,HHS Regions/National,Region 4,2016-17,Age,55-64 Years,NA,
Seasonal Influenza,HHS Regions/National,Region 5,2016-17,Age,55-64 Years,NA,
Seasonal Influenza,HHS Regions/National,Region 6,2016-17,Age,55-64 Years,NA,
Seasonal Influenza,HHS Regions/National,Region 7,2016-17,Age,55-64 Years,NA,
Seasonal Influenza,HHS Regions/National,Region 8,2016-17,Age,55-64 Years,NA,
Seasonal Influenza,HHS Regions/National,Region 9,2016-17,Age,55-64 Years,NA,
Seasonal Influenza,States,Rhode Island,2016-17,Age,55-64 Years,75.5,1454
Seasonal Influenza,States,South Carolina,2016-17,Age,55-64 Years,70.1,3373
Seasonal Influenza,States,South Dakota,2016-17,Age,55-64 Years,84.8,565
Seasonal Influenza,States,Tennessee,2016-17,Age,55-64 Years,65.6,6391
Seasonal Influenza,States,Texas,2016-17,Age,55-64 Years,65.4,19000
Seasonal Influenza,HHS Regions/National,Region 10,2016-17,Age,55-64 Years,NA,
Seasonal Influenza,States,Utah,2016-17,Age,55-64 Years,70.8,2029
Seasonal Influenza,States,Vermont,2016-17,Age,55-64 Years,73.8,363
Seasonal Influenza,States,Virginia,2016-17,Age,55-64 Years,70.4,6243
Seasonal Influenza,States,Washington,2016-17,Age,55-64 Years,70.1,4095
Seasonal Influenza,States,West Virginia,2016-17,Age,55-64 Years,77.2,1755
Seasonal Influenza,States,Wisconsin,2016-17,Age,55-64 Years,72.6,4887
Seasonal Influenza,States,Wyoming,2016-17,Age,55-64 Years,71.7,286
Seasonal Influenza,States,Alabama,2017-18,Age,55-64 Years,64.2,4726
Seasonal Influenza,States,Alaska,2017-18,Age,55-64 Years,73.7,137
Seasonal Influenza,States,Arizona,2017-18,Age,55-64 Years,53.5,5237
Seasonal Influenza,States,Arkansas,2017-18,Age,55-64 Years,81.5,2799
Seasonal Influenza,States,California,2017-18,Age,55-64 Years,69,28714
Seasonal Influenza,States,Colorado,2017-18,Age,55-64 Years,69.3,3836
Seasonal Influenza,States,Connecticut,2017-18,Age,55-64 Years,71.6,4663
Seasonal Influenza,States,Delaware,2017-18,Age,55-64 Years,73.8,877
Seasonal Influenza,States,District of Columbia,2017-18,Age,55-64 Years,62.5,624
Seasonal Influenza,States,Florida,2017-18,Age,55-64 Years,47.3,15974
Seasonal Influenza,States,Georgia,2017-18,Age,55-64 Years,65.9,7103
Seasonal Influenza,States,Hawaii,2017-18,Age,55-64 Years,65.6,617
Seasonal Influenza,States,Idaho,2017-18,Age,55-64 Years,70,951
Seasonal Influenza,States,Illinois,2017-18,Age,55-64 Years,60.6,15239
Seasonal Influenza,States,Indiana,2017-18,Age,55-64 Years,65.8,7643
Seasonal Influenza,States,Iowa,2017-18,Age,55-64 Years,77.9,2612
Seasonal Influenza,States,Kansas,2017-18,Age,55-64 Years,69.2,2649
Seasonal Influenza,States,Kentucky,2017-18,Age,55-64 Years,68.7,4238
Seasonal Influenza,States,Louisiana,2017-18,Age,55-64 Years,69.5,5112
Seasonal Influenza,States,Maine,2017-18,Age,55-64 Years,75.1,1063
Seasonal Influenza,States,Maryland,2017-18,Age,55-64 Years,64.7,6764
Seasonal Influenza,States,Massachusetts,2017-18,Age,55-64 Years,69.4,7670
Seasonal Influenza,States,Michigan,2017-18,Age,55-64 Years,59.8,9932
Seasonal Influenza,States,Minnesota,2017-18,Age,55-64 Years,74.3,4592
Seasonal Influenza,States,Mississippi,2017-18,Age,55-64 Years,68.6,3249
Seasonal Influenza,States,Missouri,2017-18,Age,55-64 Years,73.6,7185
Seasonal Influenza,States,Montana,2017-18,Age,55-64 Years,71,753
Seasonal Influenza,States,Nebraska,2017-18,Age,55-64 Years,79.1,1526
Seasonal Influenza,States,Nevada,2017-18,Age,55-64 Years,44,2097
Seasonal Influenza,States,New Hampshire,2017-18,Age,55-64 Years,73.7,840
Seasonal Influenza,States,New Jersey,2017-18,Age,55-64 Years,68,10655
Seasonal Influenza,States,New Mexico,2017-18,Age,55-64 Years,60,1365
Seasonal Influenza,States,New York,2017-18,Age,55-64 Years,68.8,19415
Seasonal Influenza,States,North Carolina,2017-18,Age,55-64 Years,63.7,7960
Seasonal Influenza,States,North Dakota,2017-18,Age,55-64 Years,76.7,520
Seasonal Influenza,States,Ohio,2017-18,Age,55-64 Years,63.3,18295
Seasonal Influenza,States,Oklahoma,2017-18,Age,55-64 Years,78.7,3763
Seasonal Influenza,States,Oregon,2017-18,Age,55-64 Years,66.3,2699
Seasonal Influenza,States,Pennsylvania,2017-18,Age,55-64 Years,68.1,14301
Seasonal Influenza,HHS Regions/National,United States,2017-18,Age,55-64 Years,66.1,289430
Seasonal Influenza,HHS Regions/National,Region 1,2017-18,Age,55-64 Years,NA,
Seasonal Influenza,HHS Regions/National,Region 2,2017-18,Age,55-64 Years,NA,
Seasonal Influenza,HHS Regions/National,Region 3,2017-18,Age,55-64 Years,NA,
Seasonal Influenza,HHS Regions/National,Region 4,2017-18,Age,55-64 Years,NA,
Seasonal Influenza,HHS Regions/National,Region 5,2017-18,Age,55-64 Years,NA,
Seasonal Influenza,HHS Regions/National,Region 6,2017-18,Age,55-64 Years,NA,
Seasonal Influenza,HHS Regions/National,Region 7,2017-18,Age,55-64 Years,NA,
Seasonal Influenza,HHS Regions/National,Region 8,2017-18,Age,55-64 Years,NA,
Seasonal Influenza,HHS Regions/National,Region 9,2017-18,Age,55-64 Years,NA,
Seasonal Influenza,States,Rhode Island,2017-18,Age,55-64 Years,73.5,1508
Seasonal Influenza,States,South Carolina,2017-18,Age,55-64 Years,67.5,3446
Seasonal Influenza,States,South Dakota,2017-18,Age,55-64 Years,85.2,555
Seasonal Influenza,States,Tennessee,2017-18,Age,55-64 Years,65.9,6392
Seasonal Influenza,States,Texas,2017-18,Age,55-64 Years,64.8,19466
Seasonal Influenza,HHS Regions/National,Region 10,2017-18,Age,55-64 Years,NA,
Seasonal Influenza,States,Utah,2017-18,Age,55-64 Years,69.1,1977
Seasonal Influenza,States,Vermont,2017-18,Age,55-64 Years,72,378
Seasonal Influenza,States,Virginia,2017-18,Age,55-64 Years,70.1,6302
Seasonal Influenza,States,Washington,2017-18,Age,55-64 Years,69.5,4133
Seasonal Influenza,States,West Virginia,2017-18,Age,55-64 Years,74.9,1790
Seasonal Influenza,States,Wisconsin,2017-18,Age,55-64 Years,74.2,4788
Seasonal Influenza,States,Wyoming,2017-18,Age,55-64 Years,78.7,300
Seasonal Influenza,States,Alabama,2018-19,Age,55-64 Years,66.3,4590
Seasonal Influenza,States,Alaska,2018-19,Age,55-64 Years,78.6,140
Seasonal Influenza,States,Arizona,2018-19,Age,55-64 Years,50,5434
Seasonal Influenza,States,Arkansas,2018-19,Age,55-64 Years,82,2901
Seasonal Influenza,States,California,2018-19,Age,55-64 Years,68.5,29389
Seasonal Influenza,States,Colorado,2018-19,Age,55-64 Years,69.9,3669
Seasonal Influenza,States,Connecticut,2018-19,Age,55-64 Years,71.7,4705
Seasonal Influenza,States,Delaware,2018-19,Age,55-64 Years,75.8,868
Seasonal Influenza,States,District of Columbia,2018-19,Age,55-64 Years,66.5,558
Seasonal Influenza,States,Florida,2018-19,Age,55-64 Years,48.6,16017
Seasonal Influenza,States,Georgia,2018-19,Age,55-64 Years,65.9,7157
Seasonal Influenza,States,Hawaii,2018-19,Age,55-64 Years,65.9,616
Seasonal Influenza,States,Idaho,2018-19,Age,55-64 Years,70.1,984
Seasonal Influenza,States,Illinois,2018-19,Age,55-64 Years,59.5,15489
Seasonal Influenza,States,Indiana,2018-19,Age,55-64 Years,65.8,7947
Seasonal Influenza,States,Iowa,2018-19,Age,55-64 Years,78.9,2625
Seasonal Influenza,States,Kansas,2018-19,Age,55-64 Years,69,2699
Seasonal Influenza,States,Kentucky,2018-19,Age,55-64 Years,67.2,4453
Seasonal Influenza,States,Louisiana,2018-19,Age,55-64 Years,68.4,5057
Seasonal Influenza,States,Maine,2018-19,Age,55-64 Years,75.8,1029
Seasonal Influenza,States,Maryland,2018-19,Age,55-64 Years,65.1,6797
Seasonal Influenza,States,Massachusetts,2018-19,Age,55-64 Years,67.8,7669
Seasonal Influenza,States,Michigan,2018-19,Age,55-64 Years,60.6,9977
Seasonal Influenza,States,Minnesota,2018-19,Age,55-64 Years,71.4,4508
Seasonal Influenza,States,Mississippi,2018-19,Age,55-64 Years,68.4,3158
Seasonal Influenza,States,Missouri,2018-19,Age,55-64 Years,73.7,7560
Seasonal Influenza,States,Montana,2018-19,Age,55-64 Years,70.4,737
Seasonal Influenza,States,Nebraska,2018-19,Age,55-64 Years,80.1,1505
Seasonal Influenza,States,Nevada,2018-19,Age,55-64 Years,41.3,2213
Seasonal Influenza,States,New Hampshire,2018-19,Age,55-64 Years,77.5,828
Seasonal Influenza,States,New Jersey,2018-19,Age,55-64 Years,68.1,10559
Seasonal Influenza,States,New Mexico,2018-19,Age,55-64 Years,60.5,1515
Seasonal Influenza,States,New York,2018-19,Age,55-64 Years,69.2,19462
Seasonal Influenza,States,North Carolina,2018-19,Age,55-64 Years,64.2,8015
Seasonal Influenza,States,North Dakota,2018-19,Age,55-64 Years,81.3,502
Seasonal Influenza,States,Ohio,2018-19,Age,55-64 Years,62.7,18500
Seasonal Influenza,States,Oklahoma,2018-19,Age,55-64 Years,79.7,3807
Seasonal Influenza,States,Oregon,2018-19,Age,55-64 Years,64,2645
Seasonal Influenza,States,Pennsylvania,2018-19,Age,55-64 Years,68.8,14443
Seasonal Influenza,HHS Regions/National,United States,2018-19,Age,55-64 Years,66.1,291177
Seasonal Influenza,HHS Regions/National,Region 1,2018-19,Age,55-64 Years,NA,
Seasonal Influenza,HHS Regions/National,Region 2,2018-19,Age,55-64 Years,NA,
Seasonal Influenza,HHS Regions/National,Region 3,2018-19,Age,55-64 Years,NA,
Seasonal Influenza,HHS Regions/National,Region 4,2018-19,Age,55-64 Years,NA,
Seasonal Influenza,HHS Regions/National,Region 5,2018-19,Age,55-64 Years,NA,
Seasonal Influenza,HHS Regions/National,Region 6,2018-19,Age,55-64 Years,NA,
Seasonal Influenza,HHS Regions/National,Region 7,2018-19,Age,55-64 Years,NA,
Seasonal Influenza,HHS Regions/National,Region 8,2018-19,Age,55-64 Years,NA,
Seasonal Influenza,HHS Regions/National,Region 9,2018-19,Age,55-64 Years,NA,
Seasonal Influenza,States,Rhode Island,2018-19,Age,55-64 Years,71.9,1534
Seasonal Influenza,States,South Carolina,2018-19,Age,55-64 Years,67.5,3370
Seasonal Influenza,States,South Dakota,2018-19,Age,55-64 Years,83.4,566
Seasonal Influenza,States,Tennessee,2018-19,Age,55-64 Years,65.7,6432
Seasonal Influenza,States,Texas,2018-19,Age,55-64 Years,67,19361
Seasonal Influenza,HHS Regions/National,Region 10,2018-19,Age,55-64 Years,NA,
Seasonal Influenza,States,Utah,2018-19,Age,55-64 Years,66.3,1901
Seasonal Influenza,States,Vermont,2018-19,Age,55-64 Years,78.4,356
Seasonal Influenza,States,Virginia,2018-19,Age,55-64 Years,70.2,6258
Seasonal Influenza,States,Washington,2018-19,Age,55-64 Years,69.2,3805
Seasonal Influenza,States,West Virginia,2018-19,Age,55-64 Years,74.5,1814
Seasonal Influenza,States,Wisconsin,2018-19,Age,55-64 Years,69.5,4755
Seasonal Influenza,States,Wyoming,2018-19,Age,55-64 Years,72.8,298
Seasonal Influenza,States,Alabama,2019-20,Age,55-64 Years,64.3,4569
Seasonal Influenza,States,Alaska,2019-20,Age,55-64 Years,78.9,147
Seasonal Influenza,States,Arizona,2019-20,Age,55-64 Years,47.5,5426
Seasonal Influenza,States,Arkansas,2019-20,Age,55-64 Years,82,2838
Seasonal Influenza,States,California,2019-20,Age,55-64 Years,67.8,29478
Seasonal Influenza,States,Colorado,2019-20,Age,55-64 Years,70.8,3368
Seasonal Influenza,States,Connecticut,2019-20,Age,55-64 Years,73.2,4680
Seasonal Influenza,States,Delaware,2019-20,Age,55-64 Years,75.4,800
Seasonal Influenza,States,District of Columbia,2019-20,Age,55-64 Years,66.3,570
Seasonal Influenza,States,Florida,2019-20,Age,55-64 Years,48.4,15807
Seasonal Influenza,States,Georgia,2019-20,Age,55-64 Years,66.7,6935
Seasonal Influenza,States,Hawaii,2019-20,Age,55-64 Years,64.1,632
Seasonal Influenza,States,Idaho,2019-20,Age,55-64 Years,72,1003
Seasonal Influenza,States,Illinois,2019-20,Age,55-64 Years,59.6,15210
Seasonal Influenza,States,Indiana,2019-20,Age,55-64 Years,66.6,7721
Seasonal Influenza,States,Iowa,2019-20,Age,55-64 Years,79.1,2530
Seasonal Influenza,States,Kansas,2019-20,Age,55-64 Years,70.2,2735
Seasonal Influenza,States,Kentucky,2019-20,Age,55-64 Years,67.8,4411
Seasonal Influenza,States,Louisiana,2019-20,Age,55-64 Years,68.2,4948
Seasonal Influenza,States,Maine,2019-20,Age,55-64 Years,76.5,932
Seasonal Influenza,States,Maryland,2019-20,Age,55-64 Years,62.8,6624
Seasonal Influenza,States,Massachusetts,2019-20,Age,55-64 Years,69.6,7243
Seasonal Influenza,States,Michigan,2019-20,Age,55-64 Years,59,9596
Seasonal Influenza,States,Minnesota,2019-20,Age,55-64 Years,72.6,4440
Seasonal Influenza,States,Mississippi,2019-20,Age,55-64 Years,68.4,3119
Seasonal Influenza,States,Missouri,2019-20,Age,55-64 Years,73.7,7524
Seasonal Influenza,States,Montana,2019-20,Age,55-64 Years,74,674
Seasonal Influenza,States,Nebraska,2019-20,Age,55-64 Years,77.7,1518
Seasonal Influenza,States,Nevada,2019-20,Age,55-64 Years,40.7,2310
Seasonal Influenza,States,New Hampshire,2019-20,Age,55-64 Years,75.3,769
Seasonal Influenza,States,New Jersey,2019-20,Age,55-64 Years,67.5,10197
Seasonal Influenza,States,New Mexico,2019-20,Age,55-64 Years,62.7,1517
Seasonal Influenza,States,New York,2019-20,Age,55-64 Years,69,18889
Seasonal Influenza,States,North Carolina,2019-20,Age,55-64 Years,65.3,7866
Seasonal Influenza,States,North Dakota,2019-20,Age,55-64 Years,81.3,550
Seasonal Influenza,States,Ohio,2019-20,Age,55-64 Years,62.1,17673
Seasonal Influenza,States,Oklahoma,2019-20,Age,55-64 Years,78.8,3728
Seasonal Influenza,States,Oregon,2019-20,Age,55-64 Years,66.1,2225
Seasonal Influenza,States,Pennsylvania,2019-20,Age,55-64 Years,67.3,14091
Seasonal Influenza,HHS Regions/National,United States,2019-20,Age,55-64 Years,65.9,284488
Seasonal Influenza,HHS Regions/National,Region 1,2019-20,Age,55-64 Years,NA,
Seasonal Influenza,HHS Regions/National,Region 2,2019-20,Age,55-64 Years,NA,
Seasonal Influenza,HHS Regions/National,Region 3,2019-20,Age,55-64 Years,NA,
Seasonal Influenza,HHS Regions/National,Region 4,2019-20,Age,55-64 Years,NA,
Seasonal Influenza,HHS Regions/National,Region 5,2019-20,Age,55-64 Years,NA,
Seasonal Influenza,HHS Regions/National,Region 6,2019-20,Age,55-64 Years,NA,
Seasonal Influenza,HHS Regions/National,Region 7,2019-20,Age,55-64 Years,NA,
Seasonal Influenza,HHS Regions/National,Region 8,2019-20,Age,55-64 Years,NA,
Seasonal Influenza,HHS Regions/National,Region 9,2019-20,Age,55-64 Years,NA,
Seasonal Influenza,States,Rhode Island,2019-20,Age,55-64 Years,72,1459
Seasonal Influenza,States,South Carolina,2019-20,Age,55-64 Years,67.9,3429
Seasonal Influenza,States,South Dakota,2019-20,Age,55-64 Years,83.3,540
Seasonal Influenza,States,Tennessee,2019-20,Age,55-64 Years,66.1,6534
Seasonal Influenza,States,Texas,2019-20,Age,55-64 Years,68.3,18787
Seasonal Influenza,HHS Regions/National,Region 10,2019-20,Age,55-64 Years,NA,
Seasonal Influenza,States,Utah,2019-20,Age,55-64 Years,69.3,1888
Seasonal Influenza,States,Vermont,2019-20,Age,55-64 Years,75.8,360
Seasonal Influenza,States,Virginia,2019-20,Age,55-64 Years,68.4,6060
Seasonal Influenza,States,Washington,2019-20,Age,55-64 Years,69.5,3697
Seasonal Influenza,States,West Virginia,2019-20,Age,55-64 Years,72.1,1823
Seasonal Influenza,States,Wisconsin,2019-20,Age,55-64 Years,70.7,4324
Seasonal Influenza,States,Wyoming,2019-20,Age,55-64 Years,70.1,294
Seasonal Influenza,States,Alabama,2020-21,Age,55-64 Years,63.1,4250
Seasonal Influenza,States,Alaska,2020-21,Age,55-64 Years,75,140
Seasonal Influenza,States,Arizona,2020-21,Age,55-64 Years,44.5,5147
Seasonal Influenza,States,Arkansas,2020-21,Age,55-64 Years,79.9,2606
Seasonal Influenza,States,California,2020-21,Age,55-64 Years,66.9,26084
Seasonal Influenza,States,Colorado,2020-21,Age,55-64 Years,71.1,2852
Seasonal Influenza,States,Connecticut,2020-21,Age,55-64 Years,68.8,4024
Seasonal Influenza,States,Delaware,2020-21,Age,55-64 Years,76.7,733
Seasonal Influenza,States,District of Columbia,2020-21,Age,55-64 Years,69.4,496
Seasonal Influenza,States,Florida,2020-21,Age,55-64 Years,47.7,14802
Seasonal Influenza,States,Georgia,2020-21,Age,55-64 Years,65.9,6276
Seasonal Influenza,States,Hawaii,2020-21,Age,55-64 Years,65.1,558
