Vaccine,Geography Type,Geography,Season,Personnel Type,Estimate (%),95% CI (%),Sample Size
Seasonal Influenza,States,Florida,2020-21,All Health Care Personnel,72.7,,"483,939"
Seasonal Influenza,States,Georgia,2020-21,All Health Care Personnel,83.3,,"233,735"
Seasonal Influenza,States,Hawaii,2020-21,All Health Care Personnel,82.7,,"28,146"
Seasonal Influenza,States,Idaho,2020-21,All Health Care Personnel,89.8,,"48,075"
Seasonal Influenza,States,Illinois,2020-21,All Health Care Personnel,91.6,,"318,033"
Seasonal Influenza,States,Indiana,2020-21,All Health Care Personnel,89.2,,"223,303"
Seasonal Influenza,States,Iowa,2020-21,All Health Care Personnel,93.4,,"93,040"
Seasonal Influenza,States,Kansas,2020-21,All Health Care Personnel,91.3,,"82,291"
Seasonal Influenza,States,Kentucky,2020-21,All Health Care Personnel,85.9,,"131,972"
Seasonal Influenza,States,Louisiana,2020-21,All Health Care Personnel,81.1,,"142,536"
Seasonal Influenza,States,Maine,2020-21,All Health Care Personnel,91.9,,"39,750"
Seasonal Influenza,States,Maryland,2020-21,All Health Care Personnel,95.5,,"113,378"
Seasonal Influenza,States,Massachusetts,2020-21,All Health Care Personnel,95.6,,"244,494"
Seasonal Influenza,States,Michigan,2020-21,All Health Care Personnel,89.5,,"279,196"
Seasonal Influenza,States,Minnesota,2020-21,All Health Care Personnel,82.9,,"146,825"
Seasonal Influenza,States,Mississippi,2020-21,All Health Care Personnel,81.1,,"79,821"
Seasonal Influenza,States,Missouri,2020-21,All Health Care Personnel,93.9,,"182,937"
Seasonal Influenza,States,Montana,2020-21,All Health Care Personnel,86,,"34,495"
Seasonal Influenza,States,Nebraska,2020-21,All Health Care Personnel,88,,"59,594"
Seasonal Influenza,States,Nevada,2020-21,All Health Care Personnel,69.3,,"54,757"
Seasonal Influenza,States,New Hampshire,2020-21,All Health Care Personnel,94.8,,"45,045"
Seasonal Influenza,States,New Jersey,2020-21,All Health Care Personnel,87.5,,"205,079"
Seasonal Influenza,States,New Mexico,2020-21,All Health Care Personnel,80.5,,"50,101"
Seasonal Influenza,States,New York,2020-21,All Health Care Personnel,78.6,,"562,603"
Seasonal Influenza,States,North Carolina,2020-21,All Health Care Personnel,95.1,,"259,291"
Seasonal Influenza,States,North Dakota,2020-21,All Health Care Personnel,92.2,,"32,626"
Seasonal Influenza,States,Ohio,2020-21,All Health Care Personnel,86.6,,"368,477"
Seasonal Influenza,States,Oklahoma,2020-21,All Health Care Personnel,92.7,,"99,034"
Seasonal Influenza,States,Oregon,2020-21,All Health Care Personnel,70.7,,"103,256"
Seasonal Influenza,States,Pennsylvania,2020-21,All Health Care Personnel,91.5,,"346,462"
Seasonal Influenza,National,United States,2020-21,All Health Care Personnel,85.9,,"8,214,305"
Seasonal Influenza,States,Rhode Island,2020-21,All Health Care Personnel,83,,"35,847"
Seasonal Influenza,States,South Carolina,2020-21,All Health Care Personnel,91,,"124,238"
Seasonal Influenza,States,South Dakota,2020-21,All Health Care Personnel,96.4,,"35,022"
Seasonal Influenza,States,Tennessee,2020-21,All Health Care Personnel,87.8,,"193,148"
Seasonal Influenza,States,Texas,2020-21,All Health Care Personnel,83.6,,"541,380"
Seasonal Influenza,States,Utah,2020-21,All Health Care Personnel,94.1,,"78,138"
Seasonal Influenza,States,Vermont,2020-21,All Health Care Personnel,83.8,,"19,214"
Seasonal Influenza,States,Virginia,2020-21,All Health Care Personnel,85.2,,"164,160"
Seasonal Influenza,States,Washington,2020-21,All Health Care Personnel,84.3,,"167,724"
Seasonal Influenza,States,West Virginia,2020-21,All Health Care Personnel,91.7,,"63,649"
Seasonal Influenza,States,Wisconsin,2020-21,All Health Care Personnel,93.6,,"192,391"
Seasonal Influenza,States,Wyoming,2020-21,All Health Care Personnel,88.5,,"14,146"
Seasonal Influenza,States,Alabama,2013-14,Employees,76.5,,"85,312"
Seasonal Influenza,States,Alaska,2013-14,Employees,78.7,,"10,408"
Seasonal Influenza,States,Arizona,2013-14,Employees,82,,"92,020"
Seasonal Influenza,States,Arkansas,2013-14,Employees,88,,"57,881"
Seasonal Influenza,States,California,2013-14,Employees,83.4,,"562,695"
Seasonal Influenza,States,Colorado,2013-14,Employees,97.1,,"77,766"
Seasonal Influenza,States,Connecticut,2013-14,Employees,87.6,,"75,622"
Seasonal Influenza,States,Delaware,2013-14,Employees,93.7,,"20,501"
Seasonal Influenza,States,District of Columbia,2013-14,Employees,96.4,,"26,801"
Seasonal Influenza,States,Florida,2013-14,Employees,72.4,,"297,609"
Seasonal Influenza,States,Georgia,2013-14,Employees,88.7,,"150,315"
Seasonal Influenza,States,Hawaii,2013-14,Employees,69,,"18,618"
Seasonal Influenza,States,Idaho,2013-14,Employees,86.9,,"23,254"
Seasonal Influenza,States,Illinois,2013-14,Employees,87.8,,"244,930"
Seasonal Influenza,States,Indiana,2013-14,Employees,90.3,,"141,308"
Seasonal Influenza,States,Iowa,2013-14,Employees,95.2,,"70,001"
Seasonal Influenza,States,Kansas,2013-14,Employees,92,,"49,464"
Seasonal Influenza,States,Kentucky,2013-14,Employees,81.5,,"84,823"
Seasonal Influenza,States,Louisiana,2013-14,Employees,77,,"94,319"
Seasonal Influenza,States,Maine,2013-14,Employees,86.5,,"33,401"
Seasonal Influenza,States,Maryland,2013-14,Employees,97.3,,"92,978"
Seasonal Influenza,States,Massachusetts,2013-14,Employees,87.1,,"185,846"
Seasonal Influenza,States,Michigan,2013-14,Employees,87,,"208,776"
Seasonal Influenza,States,Minnesota,2013-14,Employees,79.4,,"110,338"
Seasonal Influenza,States,Mississippi,2013-14,Employees,75.6,,"59,462"
Seasonal Influenza,States,Missouri,2013-14,Employees,93,,"132,090"
Seasonal Influenza,States,Montana,2013-14,Employees,87.4,,"18,771"
Seasonal Influenza,States,Nebraska,2013-14,Employees,94.3,,"33,475"
Seasonal Influenza,States,Nevada,2013-14,Employees,88.2,,"28,511"
Seasonal Influenza,States,New Hampshire,2013-14,Employees,94.5,,"27,610"
Seasonal Influenza,States,New Jersey,2013-14,Employees,70.8,,"145,842"
Seasonal Influenza,States,New Mexico,2013-14,Employees,83.1,,"30,767"
Seasonal Influenza,States,New York,2013-14,Employees,85.9,,"416,569"
Seasonal Influenza,States,North Carolina,2013-14,Employees,94.8,,"175,134"
Seasonal Influenza,States,North Dakota,2013-14,Employees,91.3,,"16,939"
Seasonal Influenza,States,Ohio,2013-14,Employees,87.1,,"277,806"
Seasonal Influenza,States,Oklahoma,2013-14,Employees,87.1,,"68,680"
Seasonal Influenza,States,Oregon,2013-14,Employees,82.3,,"66,624"
Seasonal Influenza,States,Pennsylvania,2013-14,Employees,86.2,,"309,392"
Seasonal Influenza,National,United States,2013-14,Employees,86.1,,"5,683,406"
Seasonal Influenza,States,Rhode Island,2013-14,Employees,89.7,,"23,552"
Seasonal Influenza,States,South Carolina,2013-14,Employees,85,,"89,339"
Seasonal Influenza,States,South Dakota,2013-14,Employees,94.9,,"21,774"
Seasonal Influenza,States,Tennessee,2013-14,Employees,87.2,,"122,578"
Seasonal Influenza,States,Texas,2013-14,Employees,91.3,,"350,392"
Seasonal Influenza,States,Utah,2013-14,Employees,97.6,,"41,490"
Seasonal Influenza,States,Vermont,2013-14,Employees,78.3,,"13,774"
Seasonal Influenza,States,Virginia,2013-14,Employees,88.6,,"107,748"
Seasonal Influenza,States,Washington,2013-14,Employees,90.9,,"106,311"
Seasonal Influenza,States,West Virginia,2013-14,Employees,82.4,,"47,033"
Seasonal Influenza,States,Wisconsin,2013-14,Employees,92.2,,"127,913"
Seasonal Influenza,States,Wyoming,2013-14,Employees,89.3,,"8,844"
Seasonal Influenza,States,Alabama,2014-15,Employees,80.5,,"85,218"
Seasonal Influenza,States,Alaska,2014-15,Employees,75.3,,"12,445"
Seasonal Influenza,States,Arizona,2014-15,Employees,90.2,,"93,666"
Seasonal Influenza,States,Arkansas,2014-15,Employees,89,,"56,926"
Seasonal Influenza,States,California,2014-15,Employees,86.5,,"566,936"
Seasonal Influenza,States,Colorado,2014-15,Employees,98.3,,"101,920"
Seasonal Influenza,States,Connecticut,2014-15,Employees,87.7,,"75,836"
Seasonal Influenza,States,Delaware,2014-15,Employees,94.1,,"21,479"
Seasonal Influenza,States,District of Columbia,2014-15,Employees,94.7,,"26,549"
Seasonal Influenza,States,Florida,2014-15,Employees,79.4,,"308,140"
Seasonal Influenza,States,Georgia,2014-15,Employees,88.8,,"159,844"
Seasonal Influenza,States,Hawaii,2014-15,Employees,75.2,,"19,497"
Seasonal Influenza,States,Idaho,2014-15,Employees,89.5,,"26,157"
Seasonal Influenza,States,Illinois,2014-15,Employees,90.2,,"243,591"
Seasonal Influenza,States,Indiana,2014-15,Employees,89.3,,"133,845"
Seasonal Influenza,States,Iowa,2014-15,Employees,95,,"71,419"
Seasonal Influenza,States,Kansas,2014-15,Employees,95.7,,"51,155"
Seasonal Influenza,States,Kentucky,2014-15,Employees,87.2,,"83,472"
Seasonal Influenza,States,Louisiana,2014-15,Employees,85.4,,"90,751"
Seasonal Influenza,States,Maine,2014-15,Employees,87.2,,"34,664"
Seasonal Influenza,States,Maryland,2014-15,Employees,98,,"107,671"
Seasonal Influenza,States,Massachusetts,2014-15,Employees,89.3,,"189,012"
Seasonal Influenza,States,Michigan,2014-15,Employees,87,,"216,670"
Seasonal Influenza,States,Minnesota,2014-15,Employees,81.3,,"106,898"
Seasonal Influenza,States,Mississippi,2014-15,Employees,84.4,,"59,248"
Seasonal Influenza,States,Missouri,2014-15,Employees,95.1,,"137,207"
Seasonal Influenza,States,Montana,2014-15,Employees,87.6,,"18,767"
Seasonal Influenza,States,Nebraska,2014-15,Employees,95,,"33,142"
Seasonal Influenza,States,Nevada,2014-15,Employees,87.5,,"31,246"
Seasonal Influenza,States,New Hampshire,2014-15,Employees,95,,"31,369"
Seasonal Influenza,States,New Jersey,2014-15,Employees,76.2,,"142,816"
Seasonal Influenza,States,New Mexico,2014-15,Employees,86,,"31,889"
Seasonal Influenza,States,New York,2014-15,Employees,86.3,,"405,771"
Seasonal Influenza,States,North Carolina,2014-15,Employees,96.8,,"174,552"
Seasonal Influenza,States,North Dakota,2014-15,Employees,90.1,,"19,643"
Seasonal Influenza,States,Ohio,2014-15,Employees,89.1,,"281,144"
Seasonal Influenza,States,Oklahoma,2014-15,Employees,91.2,,"70,372"
Seasonal Influenza,States,Oregon,2014-15,Employees,83.8,,"68,672"
Seasonal Influenza,States,Pennsylvania,2014-15,Employees,89.5,,"289,888"
Seasonal Influenza,National,United States,2014-15,Employees,88.6,,"5,757,764"
Seasonal Influenza,States,Rhode Island,2014-15,Employees,89.7,,"23,500"
Seasonal Influenza,States,South Carolina,2014-15,Employees,87.8,,"89,834"
Seasonal Influenza,States,South Dakota,2014-15,Employees,95.2,,"21,678"
Seasonal Influenza,States,Tennessee,2014-15,Employees,88.3,,"121,593"
Seasonal Influenza,States,Texas,2014-15,Employees,92.6,,"349,700"
Seasonal Influenza,States,Utah,2014-15,Employees,97.5,,"42,762"
Seasonal Influenza,States,Vermont,2014-15,Employees,78.9,,"14,080"
Seasonal Influenza,States,Virginia,2014-15,Employees,91.4,,"110,233"
Seasonal Influenza,States,Washington,2014-15,Employees,89.8,,"117,658"
Seasonal Influenza,States,West Virginia,2014-15,Employees,83.9,,"47,013"
Seasonal Influenza,States,Wisconsin,2014-15,Employees,94.2,,"130,431"
Seasonal Influenza,States,Wyoming,2014-15,Employees,88.8,,"9,795"
Seasonal Influenza,States,Alabama,2015-16,Employees,80.6,,"84,868"
Seasonal Influenza,States,Alaska,2015-16,Employees,67.3,,"12,595"
Seasonal Influenza,States,Arizona,2015-16,Employees,90.8,,"93,542"
Seasonal Influenza,States,Arkansas,2015-16,Employees,88.6,,"60,823"
Seasonal Influenza,States,California,2015-16,Employees,86.7,,"590,105"
Seasonal Influenza,States,Colorado,2015-16,Employees,97.6,,"86,465"
Seasonal Influenza,States,Connecticut,2015-16,Employees,89.5,,"70,023"
Seasonal Influenza,States,Delaware,2015-16,Employees,94.2,,"23,069"
Seasonal Influenza,States,District of Columbia,2015-16,Employees,96.8,,"26,067"
Seasonal Influenza,States,Florida,2015-16,Employees,83,,"321,315"
Seasonal Influenza,States,Georgia,2015-16,Employees,90.8,,"159,503"
Seasonal Influenza,States,Hawaii,2015-16,Employees,79,,"20,111"
Seasonal Influenza,States,Idaho,2015-16,Employees,94.7,,"31,873"
Seasonal Influenza,States,Illinois,2015-16,Employees,91.9,,"249,531"
Seasonal Influenza,States,Indiana,2015-16,Employees,91.8,,"141,003"
Seasonal Influenza,States,Iowa,2015-16,Employees,94.9,,"76,881"
Seasonal Influenza,States,Kansas,2015-16,Employees,95.3,,"54,436"
Seasonal Influenza,States,Kentucky,2015-16,Employees,90,,"94,768"
Seasonal Influenza,States,Louisiana,2015-16,Employees,86.2,,"94,724"
Seasonal Influenza,States,Maine,2015-16,Employees,84.5,,"38,245"
Seasonal Influenza,States,Maryland,2015-16,Employees,97.6,,"97,918"
Seasonal Influenza,States,Massachusetts,2015-16,Employees,90.7,,"194,039"
Seasonal Influenza,States,Michigan,2015-16,Employees,90.4,,"227,858"
Seasonal Influenza,States,Minnesota,2015-16,Employees,82.8,,"122,696"
Seasonal Influenza,States,Mississippi,2015-16,Employees,83,,"64,838"
Seasonal Influenza,States,Missouri,2015-16,Employees,95.1,,"145,066"
Seasonal Influenza,States,Montana,2015-16,Employees,87.1,,"24,184"
Seasonal Influenza,States,Nebraska,2015-16,Employees,95.2,,"39,388"
Seasonal Influenza,States,Nevada,2015-16,Employees,89.1,,"31,745"
Seasonal Influenza,States,New Hampshire,2015-16,Employees,95.6,,"33,160"
Seasonal Influenza,States,New Jersey,2015-16,Employees,86.8,,"146,080"
Seasonal Influenza,States,New Mexico,2015-16,Employees,88,,"35,530"
Seasonal Influenza,States,New York,2015-16,Employees,86.7,,"429,044"
Seasonal Influenza,States,North Carolina,2015-16,Employees,97,,"181,070"
Seasonal Influenza,States,North Dakota,2015-16,Employees,90.9,,"26,078"
Seasonal Influenza,States,Ohio,2015-16,Employees,88.6,,"287,040"
Seasonal Influenza,States,Oklahoma,2015-16,Employees,92.3,,"69,456"
Seasonal Influenza,States,Oregon,2015-16,Employees,83,,"69,854"
Seasonal Influenza,States,Pennsylvania,2015-16,Employees,92.9,,"280,381"
Seasonal Influenza,National,United States,2015-16,Employees,89.8,,"5,967,338"
Seasonal Influenza,States,Rhode Island,2015-16,Employees,90.4,,"23,784"
Seasonal Influenza,States,South Carolina,2015-16,Employees,91.5,,"91,584"
Seasonal Influenza,States,South Dakota,2015-16,Employees,95.9,,"25,332"
Seasonal Influenza,States,Tennessee,2015-16,Employees,90.5,,"127,097"
Seasonal Influenza,States,Texas,2015-16,Employees,92.2,,"374,210"
Seasonal Influenza,States,Utah,2015-16,Employees,98.2,,"43,962"
Seasonal Influenza,States,Vermont,2015-16,Employees,78.2,,"17,598"
Seasonal Influenza,States,Virginia,2015-16,Employees,91,,"114,777"
Seasonal Influenza,States,Washington,2015-16,Employees,91.1,,"122,084"
Seasonal Influenza,States,West Virginia,2015-16,Employees,88.6,,"50,089"
Seasonal Influenza,States,Wisconsin,2015-16,Employees,95.2,,"130,796"
Seasonal Influenza,States,Wyoming,2015-16,Employees,90.7,,"10,653"
Seasonal Influenza,States,Alabama,2016-17,Employees,82.1,,"89,977"
Seasonal Influenza,States,Alaska,2016-17,Employees,78.5,,"15,178"
Seasonal Influenza,States,Arizona,2016-17,Employees,93.3,,"96,287"
Seasonal Influenza,States,Arkansas,2016-17,Employees,88.6,,"63,692"
Seasonal Influenza,States,California,2016-17,Employees,87.5,,"603,992"
Seasonal Influenza,States,Colorado,2016-17,Employees,97.7,,"78,378"
Seasonal Influenza,States,Connecticut,2016-17,Employees,92.6,,"71,079"
Seasonal Influenza,States,Delaware,2016-17,Employees,95.1,,"23,967"
Seasonal Influenza,States,District of Columbia,2016-17,Employees,97.2,,"25,657"
Seasonal Influenza,States,Florida,2016-17,Employees,82.5,,"354,685"
Seasonal Influenza,States,Georgia,2016-17,Employees,92.2,,"167,358"
Seasonal Influenza,States,Hawaii,2016-17,Employees,82.9,,"18,809"
Seasonal Influenza,States,Idaho,2016-17,Employees,93.5,,"32,674"
Seasonal Influenza,States,Illinois,2016-17,Employees,92.7,,"260,549"
Seasonal Influenza,States,Indiana,2016-17,Employees,92,,"150,120"
Seasonal Influenza,States,Iowa,2016-17,Employees,95.4,,"81,039"
Seasonal Influenza,States,Kansas,2016-17,Employees,95.1,,"64,036"
Seasonal Influenza,States,Kentucky,2016-17,Employees,88.4,,"87,268"
Seasonal Influenza,States,Louisiana,2016-17,Employees,88.5,,"95,733"
Seasonal Influenza,States,Maine,2016-17,Employees,88.8,,"41,222"
Seasonal Influenza,States,Maryland,2016-17,Employees,97.8,,"74,462"
Seasonal Influenza,States,Massachusetts,2016-17,Employees,91.8,,"199,334"
Seasonal Influenza,States,Michigan,2016-17,Employees,92.1,,"241,455"
Seasonal Influenza,States,Minnesota,2016-17,Employees,83.2,,"127,624"
Seasonal Influenza,States,Mississippi,2016-17,Employees,84.9,,"65,089"
Seasonal Influenza,States,Missouri,2016-17,Employees,95.3,,"149,159"
Seasonal Influenza,States,Montana,2016-17,Employees,88.8,,"27,407"
Seasonal Influenza,States,Nebraska,2016-17,Employees,95.6,,"40,738"
Seasonal Influenza,States,Nevada,2016-17,Employees,89.9,,"33,684"
Seasonal Influenza,States,New Hampshire,2016-17,Employees,95.6,,"39,440"
Seasonal Influenza,States,New Jersey,2016-17,Employees,89.1,,"151,148"
Seasonal Influenza,States,New Mexico,2016-17,Employees,89.3,,"34,757"
Seasonal Influenza,States,New York,2016-17,Employees,87.6,,"423,138"
Seasonal Influenza,States,North Carolina,2016-17,Employees,97.3,,"189,034"
Seasonal Influenza,States,North Dakota,2016-17,Employees,91.5,,"27,604"
Seasonal Influenza,States,Ohio,2016-17,Employees,90,,"288,648"
Seasonal Influenza,States,Oklahoma,2016-17,Employees,92.5,,"70,557"
Seasonal Influenza,States,Oregon,2016-17,Employees,83.9,,"79,336"
Seasonal Influenza,States,Pennsylvania,2016-17,Employees,92.6,,"290,585"
Seasonal Influenza,National,United States,2016-17,Employees,90.5,,"6,157,219"
Seasonal Influenza,States,Rhode Island,2016-17,Employees,91.2,,"23,610"
Seasonal Influenza,States,South Carolina,2016-17,Employees,90.4,,"96,199"
Seasonal Influenza,States,South Dakota,2016-17,Employees,97.3,,"25,345"
Seasonal Influenza,States,Tennessee,2016-17,Employees,91.3,,"131,556"
Seasonal Influenza,States,Texas,2016-17,Employees,92.4,,"399,540"
Seasonal Influenza,States,Utah,2016-17,Employees,98,,"45,760"
Seasonal Influenza,States,Vermont,2016-17,Employees,81.2,,"17,255"
Seasonal Influenza,States,Virginia,2016-17,Employees,91.7,,"122,618"
Seasonal Influenza,States,Washington,2016-17,Employees,91.6,,"129,042"
Seasonal Influenza,States,West Virginia,2016-17,Employees,92.6,,"48,243"
Seasonal Influenza,States,Wisconsin,2016-17,Employees,94.9,,"132,386"
Seasonal Influenza,States,Wyoming,2016-17,Employees,93.1,,"10,766"
Seasonal Influenza,States,Alabama,2017-18,Employees,88.8,,"94,464"
Seasonal Influenza,States,Alaska,2017-18,Employees,79.6,,"17,105"
Seasonal Influenza,States,Arizona,2017-18,Employees,92.7,,"94,791"
Seasonal Influenza,States,Arkansas,2017-18,Employees,91.1,,"65,636"
Seasonal Influenza,States,California,2017-18,Employees,87.3,,"622,364"
Seasonal Influenza,States,Colorado,2017-18,Employees,97.7,,"79,231"
Seasonal Influenza,States,Connecticut,2017-18,Employees,93.6,,"71,009"
Seasonal Influenza,States,Delaware,2017-18,Employees,93.7,,"27,959"
Seasonal Influenza,States,District of Columbia,2017-18,Employees,97.1,,"20,473"
Seasonal Influenza,States,Florida,2017-18,Employees,83.8,,"364,588"
Seasonal Influenza,States,Georgia,2017-18,Employees,92.7,,"174,714"
Seasonal Influenza,States,Hawaii,2017-18,Employees,83.5,,"21,371"
Seasonal Influenza,States,Idaho,2017-18,Employees,95.7,,"34,342"
Seasonal Influenza,States,Illinois,2017-18,Employees,94.4,,"256,976"
Seasonal Influenza,States,Indiana,2017-18,Employees,90.8,,"153,822"
Seasonal Influenza,States,Iowa,2017-18,Employees,95.1,,"79,209"
Seasonal Influenza,States,Kansas,2017-18,Employees,95.4,,"64,369"
Seasonal Influenza,States,Kentucky,2017-18,Employees,93,,"98,106"
Seasonal Influenza,States,Louisiana,2017-18,Employees,90,,"93,327"
Seasonal Influenza,States,Maine,2017-18,Employees,90.4,,"40,327"
Seasonal Influenza,States,Maryland,2017-18,Employees,97.2,,"92,372"
Seasonal Influenza,States,Massachusetts,2017-18,Employees,92.6,,"199,639"
Seasonal Influenza,States,Michigan,2017-18,Employees,92.2,,"235,215"
Seasonal Influenza,States,Minnesota,2017-18,Employees,85.7,,"129,710"
Seasonal Influenza,States,Mississippi,2017-18,Employees,84.9,,"66,417"
Seasonal Influenza,States,Missouri,2017-18,Employees,96.1,,"153,586"
Seasonal Influenza,States,Montana,2017-18,Employees,91,,"29,834"
Seasonal Influenza,States,Nebraska,2017-18,Employees,93.3,,"39,439"
Seasonal Influenza,States,Nevada,2017-18,Employees,90.2,,"34,512"
Seasonal Influenza,States,New Hampshire,2017-18,Employees,95,,"36,076"
Seasonal Influenza,States,New Jersey,2017-18,Employees,91,,"158,548"
Seasonal Influenza,States,New Mexico,2017-18,Employees,88.2,,"35,891"
Seasonal Influenza,States,New York,2017-18,Employees,86.9,,"459,969"
Seasonal Influenza,States,North Carolina,2017-18,Employees,97,,"192,397"
Seasonal Influenza,States,North Dakota,2017-18,Employees,92.6,,"27,578"
Seasonal Influenza,States,Ohio,2017-18,Employees,89.1,,"288,359"
Seasonal Influenza,States,Oklahoma,2017-18,Employees,94.4,,"72,866"
Seasonal Influenza,States,Oregon,2017-18,Employees,84.8,,"79,404"
Seasonal Influenza,States,Pennsylvania,2017-18,Employees,92.7,,"296,211"
Seasonal Influenza,National,United States,2017-18,Employees,91.1,,"6,303,173"
Seasonal Influenza,States,Rhode Island,2017-18,Employees,90.1,,"23,224"
Seasonal Influenza,States,South Carolina,2017-18,Employees,94,,"93,561"
Seasonal Influenza,States,South Dakota,2017-18,Employees,96.6,,"25,100"
Seasonal Influenza,States,Tennessee,2017-18,Employees,92.7,,"135,009"
Seasonal Influenza,States,Texas,2017-18,Employees,93.8,,"408,213"
Seasonal Influenza,States,Utah,2017-18,Employees,99,,"45,616"
Seasonal Influenza,States,Vermont,2017-18,Employees,80.6,,"18,645"
Seasonal Influenza,States,Virginia,2017-18,Employees,91.5,,"123,966"
Seasonal Influenza,States,Washington,2017-18,Employees,91.9,,"129,593"
Seasonal Influenza,States,West Virginia,2017-18,Employees,92.5,,"51,259"
Seasonal Influenza,States,Wisconsin,2017-18,Employees,95.7,,"135,551"
Seasonal Influenza,States,Wyoming,2017-18,Employees,93.7,,"11,230"
Seasonal Influenza,States,Alabama,2018-19,Employees,90.6,,"94,536"
Seasonal Influenza,States,Alaska,2018-19,Employees,85.9,,"19,005"
Seasonal Influenza,States,Arizona,2018-19,Employees,93,,"93,061"
Seasonal Influenza,States,Arkansas,2018-19,Employees,93.2,,"68,204"
Seasonal Influenza,States,California,2018-19,Employees,88.3,,"622,103"
Seasonal Influenza,States,Colorado,2018-19,Employees,98,,"89,513"
Seasonal Influenza,States,Connecticut,2018-19,Employees,93.5,,"71,584"
Seasonal Influenza,States,Delaware,2018-19,Employees,94.9,,"28,146"
Seasonal Influenza,States,District of Columbia,2018-19,Employees,98.4,,"19,553"
Seasonal Influenza,States,Florida,2018-19,Employees,85.3,,"371,607"
Seasonal Influenza,States,Georgia,2018-19,Employees,92.4,,"177,390"
Seasonal Influenza,States,Hawaii,2018-19,Employees,83.1,,"19,595"
Seasonal Influenza,States,Idaho,2018-19,Employees,96.2,,"33,724"
Seasonal Influenza,States,Illinois,2018-19,Employees,96,,"258,297"
Seasonal Influenza,States,Indiana,2018-19,Employees,94.2,,"159,644"
Seasonal Influenza,States,Iowa,2018-19,Employees,96.5,,"76,864"
Seasonal Influenza,States,Kansas,2018-19,Employees,95.9,,"66,361"
Seasonal Influenza,States,Kentucky,2018-19,Employees,94.5,,"98,830"
Seasonal Influenza,States,Louisiana,2018-19,Employees,91.2,,"93,865"
Seasonal Influenza,States,Maine,2018-19,Employees,91.7,,"40,464"
Seasonal Influenza,States,Maryland,2018-19,Employees,97.6,,"73,320"
Seasonal Influenza,States,Massachusetts,2018-19,Employees,94.9,,"204,778"
Seasonal Influenza,States,Michigan,2018-19,Employees,93.5,,"238,301"
Seasonal Influenza,States,Minnesota,2018-19,Employees,86.1,,"138,621"
Seasonal Influenza,States,Mississippi,2018-19,Employees,88.8,,"66,626"
Seasonal Influenza,States,Missouri,2018-19,Employees,96.5,,"148,091"
Seasonal Influenza,States,Montana,2018-19,Employees,92.2,,"29,302"
Seasonal Influenza,States,Nebraska,2018-19,Employees,94.1,,"38,038"
Seasonal Influenza,States,Nevada,2018-19,Employees,91.4,,"35,595"
Seasonal Influenza,States,New Hampshire,2018-19,Employees,94.6,,"37,341"
Seasonal Influenza,States,New Jersey,2018-19,Employees,93.1,,"153,020"
Seasonal Influenza,States,New Mexico,2018-19,Employees,91.2,,"36,843"
Seasonal Influenza,States,New York,2018-19,Employees,88,,"455,570"
Seasonal Influenza,States,North Carolina,2018-19,Employees,97.4,,"199,401"
Seasonal Influenza,States,North Dakota,2018-19,Employees,93.2,,"27,728"
Seasonal Influenza,States,Ohio,2018-19,Employees,91.8,,"278,067"
Seasonal Influenza,States,Oklahoma,2018-19,Employees,95.4,,"73,656"
Seasonal Influenza,States,Oregon,2018-19,Employees,86.8,,"79,367"
Seasonal Influenza,States,Pennsylvania,2018-19,Employees,94,,"279,349"
Seasonal Influenza,National,United States,2018-19,Employees,92.3,,"6,303,025"
Seasonal Influenza,States,Rhode Island,2018-19,Employees,90.4,,"23,683"
Seasonal Influenza,States,South Carolina,2018-19,Employees,93.8,,"92,374"
Seasonal Influenza,States,South Dakota,2018-19,Employees,97.4,,"25,333"
Seasonal Influenza,States,Tennessee,2018-19,Employees,93.4,,"142,267"
Seasonal Influenza,States,Texas,2018-19,Employees,94.4,,"403,525"
Seasonal Influenza,States,Utah,2018-19,Employees,99,,"45,424"
Seasonal Influenza,States,Vermont,2018-19,Employees,82.8,,"18,602"
Seasonal Influenza,States,Virginia,2018-19,Employees,94.1,,"123,216"
Seasonal Influenza,States,Washington,2018-19,Employees,92.4,,"127,119"
Seasonal Influenza,States,West Virginia,2018-19,Employees,94.1,,"52,776"
Seasonal Influenza,States,Wisconsin,2018-19,Employees,96.5,,"141,786"
Seasonal Influenza,States,Wyoming,2018-19,Employees,94.5,,"11,560"
Seasonal Influenza,States,Alabama,2020-21,Employees,88,,"103,733"
Seasonal Influenza,States,Alaska,2020-21,Employees,87.4,,"17,586"
Seasonal Influenza,States,Arizona,2020-21,Employees,89.2,,"84,926"
Seasonal Influenza,States,Arkansas,2020-21,Employees,89.1,,"63,674"
Seasonal Influenza,States,California,2020-21,Employees,81.4,,"634,324"
Seasonal Influenza,States,Colorado,2020-21,Employees,96.2,,"97,066"
Seasonal Influenza,States,Connecticut,2020-21,Employees,90.2,,"77,630"
Seasonal Influenza,States,Delaware,2020-21,Employees,90.7,,"25,754"
Seasonal Influenza,States,District of Columbia,2020-21,Employees,94.6,,"19,341"
Seasonal Influenza,States,Florida,2020-21,Employees,78.1,,"358,973"
Seasonal Influenza,States,Georgia,2020-21,Employees,86.3,,"180,016"
Seasonal Influenza,States,Hawaii,2020-21,Employees,82.3,,"21,460"
Seasonal Influenza,States,Idaho,2020-21,Employees,90.5,,"38,884"
